 ,Label,Area1,Mean1,IntDen1,RawIntDen1,Area2,Mean2,IntDen2,RawIntDen2,Area3,Mean3,IntDen3,RawIntDen3,Area4,Mean4,IntDen4,RawIntDen4
1,sample input_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
2,sample input_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
3,sample input_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
4,sample input_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
5,sample input_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
6,sample input_ratio,0.53,9.64,5.09,433.65,0.41,17.76,7.30,621.71,0.60,12.51,7.49,638.05,0.42,17.19,7.26,618.75
7,sample input_ratio,2.02,6.44,13.00,1107.92,1.31,8.34,10.96,933.79,0.93,5.38,4.99,425.06,1.83,14.67,26.86,2288.25
8,sample input_ratio,2.12,5.93,12.59,1072.45,2.08,9.84,20.45,1742.52,1.03,8.61,8.89,757.30,2.48,9.89,24.50,2087.21
9,sample input_ratio,2.25,8.80,19.82,1689.04,1.76,6.02,10.60,903.22,1.49,8.08,12.05,1026.54,1.34,7.51,10.05,856.67
10,sample input_ratio,2.90,6.66,19.29,1643.80,1.21,5.25,6.35,540.81,1.28,4.93,6.31,537.53,0.74,7.60,5.62,478.97
11,sample input_ratio,2.41,4.91,11.81,1006.25,1.00,5.98,5.97,508.46,1.02,6.33,6.46,550.34,0.14,1.69,0.24,20.25
12,sample input_ratio,0.83,4.48,3.74,318.33,1.15,6.18,7.11,605.54,2.43,10.13,24.60,2096.38,0.00,NaN,NaN,NaN
13,sample input_ratio,0.11,2.34,0.25,21.02,0.43,2.59,1.13,95.92,1.61,3.15,5.07,431.72,0.00,NaN,NaN,NaN
