value,count
0,30
1,55
2,144
3,377
4,776
5,5167
6,6465
7,10856
8,15795
9,20118
10,22114
11,21064
12,17949
13,14201
14,10716
15,13705
16,4408
17,3528
18,2758
19,2397
20,2023
21,1824
22,1624
23,1569
24,1487
25,1455
26,2615
27,1227
28,1193
29,1126
30,1173
31,1065
32,1038
33,1048
34,942
35,960
36,1922
37,936
38,930
39,931
40,865
41,871
42,871
43,834
44,844
45,832
46,1678
47,838
48,896
49,872
50,907
51,920
52,874
53,920
54,877
55,861
56,1843
57,1010
58,987
59,1037
60,1065
61,1066
62,1158
63,1065
64,1127
65,1194
66,2303
67,1161
68,1160
69,1157
70,1239
71,1212
72,1203
73,1228
74,1257
75,1236
76,1192
77,2264
78,1140
79,1100
80,1124
81,1044
82,1062
83,1052
84,988
85,906
86,891
87,1647
88,801
89,711
90,673
91,641
92,570
93,517
94,484
95,400
96,396
97,656
98,251
99,249
100,192
101,181
102,173
103,152
104,126
105,100
106,91
107,140
108,55
109,44
110,27
111,33
112,35
113,22
114,13
115,13
116,10
117,15
118,8
119,6
120,10
121,5
122,7
123,7
124,3
125,2
126,3
127,3
128,4
129,5
130,3
131,2
132,5
133,4
134,2
135,1
136,2
137,1
138,0
139,0
140,1
141,3
142,2
143,1
144,1
145,0
146,0
147,2
148,2
149,0
150,1
151,2
152,1
153,1
154,2
155,2
156,0
157,4
158,0
159,2
160,0
161,0
162,1
163,0
164,0
165,0
166,2
167,1
168,1
169,1
170,0
171,2
172,0
173,0
174,1
175,0
176,0
177,2
178,1
179,2
180,1
181,0
182,0
183,0
184,2
185,0
186,0
187,0
188,0
189,1
190,1
191,1
192,0
193,1
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,1
204,0
205,1
206,0
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,2
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,2
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,1
