value,count
0,2
1,3
2,9
3,22
4,26
5,278
6,337
7,490
8,698
9,900
10,878
11,709
12,531
13,347
14,223
15,213
16,75
17,48
18,48
19,40
20,34
21,35
22,29
23,17
24,36
25,28
26,54
27,34
28,27
29,17
30,27
31,30
32,20
33,28
34,19
35,24
36,60
37,35
38,30
39,41
40,36
41,31
42,43
43,32
44,38
45,28
46,78
47,44
48,24
49,45
50,50
51,42
52,38
53,40
54,48
55,39
56,69
57,55
58,40
59,45
60,55
61,59
62,72
63,54
64,42
65,72
66,133
67,71
68,78
69,58
70,81
71,68
72,57
73,66
74,79
75,67
76,75
77,152
78,82
79,72
80,61
81,64
82,71
83,76
84,65
85,58
86,69
87,126
88,54
89,50
90,55
91,56
92,38
93,37
94,36
95,18
96,42
97,51
98,12
99,14
100,18
101,10
102,9
103,10
104,12
105,9
106,7
107,10
108,8
109,2
110,2
111,5
112,3
113,3
114,2
115,0
116,2
117,3
118,1
119,1
120,2
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,2
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,2
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,2
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
