value,count
0,1
1,3
2,6
3,21
4,44
5,188
6,279
7,430
8,626
9,810
10,840
11,739
12,571
13,427
14,287
15,389
16,116
17,93
18,61
19,71
20,62
21,49
22,59
23,55
24,45
25,57
26,91
27,47
28,35
29,41
30,38
31,50
32,38
33,37
34,34
35,35
36,75
37,29
38,36
39,40
40,27
41,33
42,35
43,29
44,39
45,28
46,76
47,33
48,30
49,42
50,47
51,40
52,35
53,37
54,34
55,36
56,83
57,38
58,38
59,47
60,53
61,41
62,53
63,51
64,63
65,59
66,129
67,57
68,58
69,56
70,67
71,54
72,64
73,73
74,52
75,58
76,69
77,143
78,56
79,54
80,82
81,64
82,55
83,71
84,68
85,35
86,40
87,110
88,50
89,38
90,35
91,30
92,45
93,39
94,37
95,31
96,24
97,41
98,21
99,14
100,11
101,7
102,5
103,5
104,1
105,4
106,5
107,10
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
