 ,Label,Area,Mean,X,Y
1,C2-1-BeWo NS- DMSO-3-20x.tif,277.680,2341.628,869.559,23.845
2,C2-1-BeWo NS- DMSO-3-20x.tif,224.572,1638.277,890.122,31.245
3,C2-1-BeWo NS- DMSO-3-20x.tif,238.228,958.994,254.394,213.720
4,C2-1-BeWo NS- DMSO-3-20x.tif,295.888,764.179,1564.533,279.026
5,C2-1-BeWo NS- DMSO-3-20x.tif,150.220,736.939,1235.707,297.696
6,C2-1-BeWo NS- DMSO-3-20x.tif,139.599,868.304,1241.485,318.679
7,C2-1-BeWo NS- DMSO-3-20x.tif,198.776,1015.076,1254.400,328.590
8,C2-1-BeWo NS- DMSO-3-20x.tif,151.738,879.400,1237.472,352.177
9,C2-1-BeWo NS- DMSO-3-20x.tif,18.209,605.333,1921.021,375.705
10,C2-1-BeWo NS- DMSO-3-20x.tif,53.108,620.714,1919.965,383.852
11,C2-1-BeWo NS- DMSO-3-20x.tif,180.568,2574.168,1077.815,405.853
12,C2-1-BeWo NS- DMSO-3-20x.tif,172.981,725.860,1545.575,428.965
13,C2-1-BeWo NS- DMSO-3-20x.tif,124.425,962.293,641.161,515.201
14,C2-1-BeWo NS- DMSO-3-20x.tif,154.772,2288.882,518.282,583.809
15,C2-1-BeWo NS- DMSO-3-20x.tif,115.321,3065.697,503.879,606.687
16,C2-1-BeWo NS- DMSO-3-20x.tif,124.425,885.890,695.392,614.467
17,C2-1-BeWo NS- DMSO-3-20x.tif,229.124,1012.166,1276.992,704.327
18,C2-1-BeWo NS- DMSO-3-20x.tif,496.182,1497.131,261.818,759.958
19,C2-1-BeWo NS- DMSO-3-20x.tif,314.097,1174.889,1558.087,822.102
20,C2-1-BeWo NS- DMSO-3-20x.tif,182.085,1435.850,662.472,853.198
21,C2-1-BeWo NS- DMSO-3-20x.tif,195.742,339.984,1508.868,864.779
22,C2-1-BeWo NS- DMSO-3-20x.tif,248.850,1094.866,1177.566,878.797
23,C2-1-BeWo NS- DMSO-3-20x.tif,150.220,661.616,1278.447,892.913
24,C2-1-BeWo NS- DMSO-3-20x.tif,279.197,922.065,1283.387,906.940
25,C2-1-BeWo NS- DMSO-3-20x.tif,192.707,1504.055,701.453,919.407
26,C2-1-BeWo NS- DMSO-3-20x.tif,339.892,845.808,1463.835,1027.996
27,C2-1-BeWo NS- DMSO-3-20x.tif,133.529,590.841,750.065,1087.934
28,C2-1-BeWo NS- DMSO-3-20x.tif,226.089,1438.530,1573.491,1089.304
29,C2-1-BeWo NS- DMSO-3-20x.tif,209.398,1222.449,1596.588,1097.764
30,C2-1-BeWo NS- DMSO-3-20x.tif,403.622,872.489,1564.780,1103.112
31,C2-1-BeWo NS- DMSO-3-20x.tif,118.355,1852.564,1588.019,1110.974
32,C2-1-BeWo NS- DMSO-3-20x.tif,420.313,78.018,1419.875,1165.667
33,C2-1-BeWo NS- DMSO-3-20x.tif,18.209,107.333,1292.793,1217.037
34,C2-1-BeWo NS- DMSO-3-20x.tif,198.776,214.931,1291.618,1232.481
35,C2-1-BeWo NS- DMSO-3-20x.tif,125.942,643.133,1235.952,1239.410
36,C2-1-BeWo NS- DMSO-3-20x.tif,157.807,135.942,1270.017,1241.353
37,C2-1-BeWo NS- DMSO-3-20x.tif,185.120,85.680,1248.307,1248.801
38,C2-1-BeWo NS- DMSO-3-20x.tif,144.151,789.642,1270.582,1261.142
39,C2-1-BeWo NS- DMSO-3-20x.tif,150.220,84.566,1245.847,1264.611
40,C2-1-BeWo NS- DMSO-3-20x.tif,226.089,149.664,1254.880,1275.920
41,C2-1-BeWo NS- DMSO-3-20x.tif,40.969,626.148,259.845,1312.639
42,C2-1-BeWo NS- DMSO-3-20x.tif,283.749,2892.471,273.487,1383.421
43,C2-1-BeWo NS- DMSO-3-20x.tif,198.776,2164.733,278.537,1410.305
44,C2-1-BeWo NS- DMSO-3-20x.tif,180.568,2127.412,901.427,1455.776
45,C2-1-BeWo NS- DMSO-3-20x.tif,257.954,1172.859,1460.676,1469.755
46,C2-1-BeWo NS- DMSO-3-20x.tif,235.193,2147.852,268.548,1551.372
47,C2-1-BeWo NS- DMSO-3-20x.tif,81.938,1131.537,272.277,1566.827
48,C2-1-BeWo NS- DMSO-3-20x.tif,257.954,1524.112,1368.202,1579.575
49,C2-1-BeWo NS- DMSO-3-20x.tif,113.803,1460.800,301.524,1593.456
50,C2-1-BeWo NS- DMSO-3-20x.tif,341.410,1134.911,1729.366,1598.169
51,C2-1-BeWo NS- DMSO-3-20x.tif,227.606,2515.153,862.757,1606.053
52,C2-1-BeWo NS- DMSO-3-20x.tif,253.402,1304.940,1334.550,1643.766
53,C2-1-BeWo NS- DMSO-3-20x.tif,77.386,540.863,2202.721,1643.644
54,C2-1-BeWo NS- DMSO-3-20x.tif,201.811,1806.150,1315.087,1665.534
55,C2-1-BeWo NS- DMSO-3-20x.tif,280.715,910.059,1723.097,1715.260
56,C2-1-BeWo NS- DMSO-3-20x.tif,168.429,889.306,1016.289,1726.893
